"Modern Eng.","Phase","Step","Actions (human defined)","Demonstrable AI Use Case"
"Eng. Mgmt.","System Design","Establish UI/UX design principles (wireframews, mockups, prototypes)","Define system architecture (microservices, cloud native, etc.)","Generate annotated wireframes, high-fidelity mockups, and interactive prototypes aligned to a specified microservices, cloud-native architecture. Map UI components to backend services and produce API contracts (OpenAPI) and event schemas. Recommend authentication, authorization, data flow, and caching patterns and list infrastructure considerations such as Kubernetes, serverless functions, and managed databases. Produce design tokens, component library specs, accessibility checklists, performance budgets, and exportable Figma/Sketch files and clickable prototypes with developer handoff artifacts."
"Eng. Mgmt.","System Design","Set security architecture (authentication, authorization, encryption)","Define system architecture (microservices, cloud native, etc.)","Define system boundaries and trust zones for microservices and cloud-native components. Specify authentication using OpenID Connect/OAuth 2.0 with short-lived JWTs, PKCE for public clients, and hardware-backed keys for privileged services. Enforce authorization via centralized policy engine (OPA) with RBAC and ABAC policies, evaluated at API gateway and service sidecars. Require mutual TLS through a service mesh for encryption in transit. Encrypt data at rest using cloud KMS with envelope encryption and HSM-backed key management plus scheduled rotation. Manage secrets in a dedicated secrets manager, enable MFA for all human access, and centralize audit logs to SIEM for monitoring and compliance."
"Eng. Mgmt.","Governance","Opinionated Governance Framework +9","Define controls, KPIs","Generate a prioritized control catalog mapped to identified risks, regulatory requirements, and system components. Define control objectives, owner, frequency, control type (preventive/detective/corrective), detailed implementation guidance, acceptance criteria, test procedures, and required evidence artifacts. Assign control KPIs and monitoring metrics and set maturity levels and implementation priority using historical effort and impact estimates. Specify automation and integration options (logging, alerting, policy-as-code), exception-handling workflow, and periodic review cadence. Export control definitions as machine-readable JSON/YAML and produce a rollout roadmap with testing and audit traceability."
"Full Stack","Detailed Design","Define internal logic for each module/component.","Write specification (AGENTS.md, CONSTITUTION.md etc.) +5","Produce comprehensive specification documents (AGENTS.md, CONSTITUTION.md, and module-specific files) that define internal logic for every module/component. Specify responsibilities, input/output contracts, data models and schemas, state machines or control flows, invariants and pre/postconditions, error modes and recovery procedures, concurrency and timing constraints, security and permission rules, observability hooks and KPIs, interaction diagrams and message formats, sample pseudocode or flowcharts, clear API signatures, test vectors and acceptance criteria, and deployment/configuration parameters."
"Full Stack","Detailed Design","Write algorithm-level descriptions and pseudo-code.","Write specification (AGENTS.md, CONSTITUTION.md etc.)","Generate algorithm-level descriptions that explain core logic, inputs, outputs, time and space complexity, and failure modes. Produce concise pseudocode aligned to chosen language conventions with clear variable names, control flow, and annotations for edge cases and performance optimizations. Draft AGENTS.md entries that define agent roles, responsibilities, permissions, interaction patterns, APIs, and lifecycle transitions. Author CONSTITUTION.md sections that specify governing principles, decision arbitration rules, allowed capabilities, escalation paths, and safety constraints. Export all artifacts in Markdown with example call flows and test vectors."
"Full Stack","Detailed Design","Specify API contracts and request/response formats.","Write specification (AGENTS.md, CONSTITUTION.md etc.)","Produce comprehensive API contract documents (AGENTS.md, CONSTITUTION.md) that define endpoints, HTTP methods, path and query parameters, request and response JSON schemas with types and required fields, authentication schemes (OAuth2/API key/JWT), standard error formats and status codes, pagination and filtering conventions, rate limits, webhook/event payloads and delivery semantics, versioning and deprecation policy, sample requests/responses, OpenAPI/JSON Schema snippets, validation rules, and changelog entries; annotate fields with descriptions, examples, and backward-compatibility impact, and export machine-readable OpenAPI/JSON Schema files for tooling and contract tests."
"Full Stack","Detailed Design","Design class diagrams, sequence diagrams, and state diagrams.","Write specification (AGENTS.md, CONSTITUTION.md etc.)","Generate UML class, sequence, and state diagrams from textual specifications, codebases, or scenario descriptions and emit PlantUML or Mermaid source plus PNG/SVG exports. Produce AGENTS.md and CONSTITUTION.md as Markdown files that define agent roles, responsibilities, communication protocols, message schemas, invariants, failure modes, safety constraints, monitoring/KPI rules, and escalation procedures. Map diagram elements to data models and API signatures and include example interactions, sequence traces, and state transition tables. Export machine-readable artifacts (OpenAPI/JSON Schema, PlantUML/Mermaid, DOT) and provide acceptance criteria and test scenarios tied to diagrammed behavior."
"Full Stack","Detailed Design","Map requirement traceability to design elements.","Write specification (AGENTS.md, CONSTITUTION.md etc.)","Generate a requirements-to-design traceability specification that maps each requirement ID to specific design elements, software agents, constitution rules, architecture components, interfaces, acceptance criteria, and associated test cases; produce AGENTS.md and CONSTITUTION.md in Markdown with explicit trace links, rationale, priority, version history, and stakeholder sign-offs; emit a machine-readable YAML/JSON traceability matrix for CI/test integration alongside a human-readable table linking to code modules, UML/architecture diagrams, issue/ticket IDs, and a change log for auditability."
"Full Stack","Detailed Design","Define test design considerations early","Write specification (AGENTS.md, CONSTITUTION.md etc.)","Generate repository-ready specification documents (AGENTS.md, CONSTITUTION.md) that capture test design considerations early. Enumerate agent roles, responsibilities, allowed interactions, and expected behaviors. Define acceptance criteria, edge cases, failure modes, and observable outputs for automated tests. Specify instrumentation hooks, logging and telemetry requirements, test data schemas, and privacy/security constraints. Map requirements to test cases and CI/CD pipeline steps, and recommend tooling integrations and test environment configurations. Produce markdown files with a change log and provide effort estimates for test implementation derived from historical metrics."
"Full Stack","Implementation/Development","Set up development environment (IDEs, repositories, CI/CD pipelines)","Lab VDI, local development environment, Configure and authorize MCPs, Model Selection, Prompt engineering, Code Review (LLM Judge and Human Scoring)","Provision Lab VDIs and developer workstations with Azure Lab Services, VMware, Packer, and Terraform, preinstall IDEs and containerized toolchains. Initialize Git repositories on GitHub/GitLab/Bitbucket with branch protection, code owners, PR templates, and CI triggers. Configure CI/CD with GitHub Actions, GitLab CI, or Jenkins to run builds, unit/integration tests, static analysis, model evaluation, and gated deployments. Set up local development with Docker, devcontainers, or WSL2 and reproducible environment files. Authorize managed cloud providers via IAM roles/service principals and OIDC/OAuth, storing secrets in Vault, AWS Secrets Manager, or Azure Key Vault. Select models using benchmark suites and model registries (MLflow, Hugging Face) with performance/latency/cost gates. Implement prompt engineering with versioned templates, automated evaluations, and A/B tests. Integrate LLM-e"
"Full Stack","Implementation/Development","Sprint planning","Scrum","Transcribe and summarize Sprint planning meeting audio into concise minutes and key decisions. Extract product backlog items, acceptance criteria, user stories, and action items, then group them into a candidate sprint backlog. Estimate story points and task-level effort from historical velocity and similar-story analogies, and compute team capacity from member availability and planned time off. Prioritize scope to fit capacity and generate a committed sprint backlog with task breakdowns, owners, subtasks, and time estimates. Create or update Jira/Trello tickets, produce a burndown chart and sprint board, and list risks, dependencies, and follow-up actions."
"Full Stack","Implementation/Development","Developers write code according to standards and best practices +14","","Produce code that conforms to style guides, static-analysis rules, and security policies; apply automated formatting, linting, and type- and contract-checking; include unit, integration, and regression tests with enforceable coverage thresholds; generate meaningful commit messages, changelogs, API contracts, and inline documentation; run dependency-vulnerability scans, performance benchmarks, and CI/CD pipelines for build, test, and deployment; emit database migration scripts with backward-compatibility checks and feature-flag hooks; and provide automated reviewers, code-review checklists, and metrics (coverage, lint counts, build stability) to ensure consistent adherence to standards and best practices."
"Full Stack","Implementation/Development","Conduct peer reviews and code walkthroughs.","Developers write code according to standards and best practices.","Enforce coding standards automatically through linters, formatters, and pre-commit hooks that block nonconforming commits. Flag security, dependency, and license issues via static analysis and dependency scanners during pull requests. Suggest inline fixes and refactors with contextual patch suggestions and automated review comments. Generate diff summaries, hotspot heatmaps, and risk scores to focus human reviewers. Aggregate review metrics (time to review, coverage, comment density) in dashboards. Provide automated checklists, extract and assign action items to owners, and block merges until critical review gates and CI tests pass."
"Full Stack","Implementation/Development","Perform unit testing to verify each module.","Developers write code according to standards and best practices.",""
"Full Stack","Implementation/Development","Integrate code into shared repositories with version control (Git).","Developers write code according to standards and best practices.","Integrate code into shared Git repositories by creating and naming feature branches per the branching strategy, making focused commits with clear messages and linked issue IDs, running linters, formatters, and unit tests via pre-commit hooks, and pushing changes to the remote. Open pull requests that describe intent, include test evidence, and assign reviewers; address review feedback with additional commits or interactive rebase; resolve merge conflicts and merge using the approved workflow (squash, rebase, or fast-forward). Tag releases, update changelogs, and rely on CI/CD gates and protected branches to enforce quality."
"Full Stack","Implementation/Development","Ensure documentation of code and APIs.","Developers write code according to standards and best practices.","Generate comprehensive, standards-compliant documentation from source code and repository metadata. Extract public interfaces, function and class signatures, and type information, and produce OpenAPI/Swagger specs, Javadoc/Sphinx-style reference pages, example usage snippets, and README sections. Validate documentation against code with automated tests and static analysis, flag mismatches, and produce doc-coverage reports. Enforce style and formatting via linting rules and CI gate checks, and estimate documentation effort from historical commit and PR metrics."
"Full Stack","Implementation/Development","Static security scanning, code check-in validation pipeline","Developers write code according to standards and best practices.","Integrate SAST and linting into CI pipelines to scan commits and pull requests, enforce coding standards and formatting, run dependency and secret scanning and apply IaC checks, fail builds on policy violations, annotate PRs with findings and remediation guidance, auto-apply safe fixes for style issues, create or link tickets for high-severity vulnerabilities and require approvals to merge when risks persist, record scan artifacts and generate metrics for scan coverage, vulnerability trends, and mean time to remediate, and enforce pull-request size and test coverage gates to ensure adherence to best practices."
"Full Stack","Testing","Create test plans and test cases based on requirements.","Developers write code according to standards and best practices.","Generate comprehensive test plans and test cases from requirement documents and acceptance criteria, including test objectives, preconditions, step-by-step procedures, expected results, priority, risk, and a requirements-to-tests traceability matrix. Produce executable unit, integration, and end-to-end test code and automation scripts tailored to the specified frameworks and languages, with linting rules, type annotations, docstrings, and test data fixtures. Apply coding standards and best practices, integrate static analysis, security checks, and CI pipeline configuration, and produce clear commit messages and pull-request templates. Provide effort and coverage estimates based on historical metrics."
"Full Stack","Testing","Unit testing � individual components.","Developers write code according to standards and best practices.","Execute automated unit tests for individual components using established frameworks (JUnit, pytest, Mocha) with mocking, stubbing, and dependency injection; enforce coding standards and best practices through linters, formatters, static analysis, and pre-commit hooks; measure and enforce coverage thresholds and fail CI builds for regressions; generate test scaffolds from function signatures and requirements and suggest refactors to improve testability and adherence to SOLID principles; produce structured failure reports, test run artifacts, and flaky-test detection with quarantine or retry policies; estimate unit-test effort from historical metrics and integrate results into sprint planning."
"Full Stack","Testing","Integration testing � module interactions.","Developers write code according to standards and best practices.","Execute integration tests that validate module interactions and end-to-end flows using test harnesses, contract tests, and consumer-driven contracts. Use mocks and stubs to isolate external dependencies and reproduce edge cases. Run tests in CI pipelines within containerized environments (Docker, Kubernetes) to ensure environment parity. Enforce coding standards and best practices with linters, formatters, static analyzers, and automated code review. Write modular, dependency-injected code with clear interfaces, robust error handling, input validation, and consistent logging. Collect test results, coverage metrics, and failure traces for regression analysis and prioritized fixes."
"Full Stack","Testing","System testing � complete system validation.","Developers write code according to standards and best practices.","Generate comprehensive end-to-end system test plans that map each requirement to test cases and acceptance criteria; create automated test scripts for UI and API layers (Selenium, Playwright, Cypress, Postman) and integrate them into CI/CD pipelines for scheduled and gated execution; run regression and performance suites, collect pass/fail results, code coverage, and performance metrics; report defects with reproduction steps and severity, prioritize fixes, and update traceability matrices; enforce coding standards through linters, static analysis, and automated style checks, suggest concrete refactorings, and estimate remaining validation effort from historical test and defect data."
"Full Stack","Testing","User Acceptance Testing (UAT) � stakeholders verify it meets expectations.","Developers write code according to standards and best practices.","Validate the application against stakeholder acceptance criteria by executing predefined and exploratory test cases, capture test results and screenshots, log defects with reproduction steps and severity in an issue tracker, track test-to-requirement traceability, aggregate pass/fail metrics and defect KPIs, conduct stakeholder review sessions and capture approvals via signatures or recorded confirmations, extract action items and assign remediation tasks to developers, and produce a final acceptance report summarizing coverage, unresolved defects, risk assessment, and formal sign-off status."
"Full Stack","Testing","Performance testing � load, stress, scalability.","Developers write code according to standards and best practices.","Generate realistic load, stress, and scalability scenarios using k6, Gatling, JMeter, or Locust and simulate distributed virtual users from cloud regions. Measure latency, throughput, error rates, SLA compliance, and system resource utilization (CPU, memory, I/O, network) while capturing application traces and logs. Identify bottlenecks, contention points, and capacity limits and deliver actionable reports with response-time distributions, percentile metrics, and flamegraphs. Integrate tests into CI/CD pipelines to run automated regression and scalability gates on pull requests. Provide code-level remediation with performance-aware code snippets, configuration changes, and patterns that follow language-specific style guides, linters, and best practices."
"Full Stack","Testing","Security testing � vulnerability assessments, penetration tests.","Developers write code according to standards and best practices.","Perform automated static (SAST), dynamic (DAST), interactive (IAST), and software composition analysis (SCA) scans to identify injection, authentication, authorization, misconfiguration, dependency vulnerabilities, and exposed secrets; conduct authenticated and unauthenticated penetration tests, targeted fuzzing, and exploit validation against web apps, APIs, containers, and networks; integrate linters, secure code reviews, unit/security tests, and IaC scanners into CI/CD pipelines to enforce coding standards and block noncompliant pull requests; generate prioritized vulnerability reports with CVSS, remediation steps, proof-of-concept evidence, and track remediation to closure."
"Full Stack","Testing","Regression testing � after bug fixes or updates.","Developers write code according to standards and best practices.","Execute automated regression suites across unit, integration, and end-to-end tests within CI pipelines after each bug fix or update. Select and prioritize tests using test-impact analysis and historical failure data to minimize runtime while maximizing coverage of changed areas. Report test outcomes with failure traces, screenshots, logs, and flakiness metrics to dashboards and build artifacts. Create failure tickets linked to commits, pull requests, and issue trackers for rapid triage. Enforce coding standards and best practices through linters, static analysis, code reviews, and pre-commit hooks to reduce recurrence of regressions."
"Full Stack","Testing","Track bugs and defects using issue trackers (Jira, Bugzilla).","Developers write code according to standards and best practices.","Log and triage defects in Jira or Bugzilla with clear reproducible steps, severity, priority, component, labels, and attachments. Link issues to commits, branches, pull requests, code review comments, build artifacts, and CI/CD pipelines for end-to-end traceability. Enforce workflows, SLAs, and state transitions with custom fields, automation rules, and notifications. Generate dashboards and reports for open defects, mean time to resolution, regression rates, and release-quality metrics. Enforce coding standards through linters, formatters, pre-commit hooks, CI gates, static analysis, test coverage thresholds, and mandatory peer review to ensure code adheres to best practices and reduces defect introduction."
"Enterprise Eng.","Deployment / Migration","Prepare deployment plan (timing, environment setup, rollback plan).","Coordiinate with IT, Coordinate with other teams, Communications","Produce a deployment plan that specifies timing, environment setup steps, validation tests, and a clear rollback plan with triggers and step-by-step procedures. Coordinate with IT and dependent teams by generating runbooks, action-item lists with assigned owners, change-window schedules, and cross-team approval flows. Summarize meeting transcripts into task lists and stakeholder communication templates. Create environment configuration checklists, pre- and post-deployment verification steps, monitoring and alert gating, and integration points with ticketing and CI/CD systems. Estimate effort and risk from historical deployments and recommend go/no-go criteria and rollback timelines."
"Enterprise Eng.","Deployment / Migration","Configure production environment (servers, cloud, security, networking).","Developers write code according to standards and best practices.","Generate infrastructure-as-code templates (Terraform/CloudFormation) that provision VPCs, subnets, NATs, security groups, IAM roles, load balancers, autoscaling policies, and encrypted storage. Create CI/CD pipeline configurations (GitHub Actions/Jenkins/GitLab CI) that run builds, unit/integration/security scans, and gated deployments to staging and production. Implement server provisioning and hardening scripts (Ansible, cloud-init) and integrate secrets management (HashiCorp Vault, AWS Secrets Manager). Define monitoring, logging, alerting, and SLO dashboards (Prometheus/CloudWatch/ELK) and set automated remediation playbooks. Apply policy-as-code and static analysis (OPA/Conftest, linters, SAST) to enforce coding and security standards. Estimate resource sizing and cost from historical metrics and produce deployment runbooks with rollback procedures."
"Enterprise Eng.","Deployment / Migration","Perform applicatgion and data migration if needed.","Developers write code according to standards and best practices.",""
"Enterprise Eng.","Deployment / Migration","Conduct final smoke testing in production.","Parse logs, forecast constraints, proactive refactoring +1","Execute production smoke tests to validate critical end-to-end flows; parse logs to extract errors, stack traces, correlation IDs, and session traces; aggregate KPIs (error rate, latency, throughput) and apply time-series forecasting to predict CPU, memory, and request-rate constraints; correlate APM traces with log-derived anomalies to detect hotspots; flag modules for proactive refactoring based on sustained high error rates, elevated latency, code churn, and cyclomatic complexity; generate prioritized action items, runbook snippets, automated rollback commands, and a concise report summarizing findings, forecasts, and remediation steps."
"Enterprise Eng.","Deployment / Migration","Release using manual deployment or CI/CD automation.","Developers write code according to standards and best practices.","Generate CI/CD pipeline configurations for GitHub Actions, Jenkins, or GitLab CI that implement build, test, artifact versioning, security and lint gates, canary/blue-green deploy strategies, and automated rollback; produce equivalent manual deployment runbooks and checklists with step-by-step commands, required approvals, environment variables, and rollback procedures; enforce coding standards via pre-commit hooks, linters, static-analysis rules, and automated test suites; produce changelogs and release notes from commits, tag artifacts with semantic versions, and publish deployment metrics and post-release verification checks."
"Enterprise Eng.","Deployment / Migration","Monitor deployment performance and resolve critical issues quickly.","Parse logs, forecast constraints, proactive refactoring","Monitor deployment performance in real time by ingesting logs, metrics, and traces and extracting structured error events, latency distributions, and failure hotspots. Parse logs to correlate errors with services, releases, and user sessions and generate prioritized incident lists with root-cause indicators. Forecast resource and scaling constraints from historical metrics and trend models to predict saturation windows and trigger capacity actions. Recommend targeted refactoring candidates and generate code-change suggestions or automated patch proposals for hotspots, and execute rollbacks, traffic shifts, or remediation playbooks to resolve critical issues quickly."
"Enterprise Eng.","Deployment / Migration","Security testing � vulnerability assessments, penetration tests. (for cloud not app which forms the baseline for control inheritance by the app)","","Assess cloud accounts and services (IaaS, PaaS, containers, serverless) for configuration and vulnerability issues using CSPM, vulnerability scanners, and image/container scanning. Scan OS, middleware, container images, open ports, security groups, network ACLs, load balancers, and API endpoints. Validate identity and access controls and simulate privilege escalation and lateral movement to identify attack paths. Execute authenticated and unauthenticated penetration tests against cloud APIs, endpoints, and network per provider rules. Identify and prioritize findings by business impact and exploitability. Produce remediation playbooks, evidence-backed reports, ticketable remediation tasks, and retest after fixes. Integrate findings with SIEM, IaC pipelines, and continuous monitoring to establish a cloud security baseline for application control inheritance."
"Enterprise Eng.","Operations & Maintenance","SRE - Monitor & Optimize system performance, availability, and errors.","",""
"Enterprise Eng.","Operations & Maintenance","FinOps and Financial management cost optimization","","Analyze cloud billing and usage data to identify waste such as idle resources, unattached storage, and oversized instances. Produce rightsizing recommendations and reserved/commitment purchase plans with estimated cost savings and payback periods. Model ROI and multi-year savings scenarios for different optimization strategies. Generate a prioritized implementation roadmap with estimated effort, risks, and responsible teams. Aggregate cost KPIs and build dashboards by service, team, environment, and tag. Propose tag-based chargeback/showback rules and governance policies. Create policy-as-code alerts for budget thresholds and provide IaC change suggestions to implement optimizations."
"Enterprise Eng.","Operations & Maintenance","Apply bug fixes, patches, and updates.","",""
"Enterprise Eng.","Operations & Maintenance","Provide technical support to users.","","Automate ticket triage, classify issues by severity and category, route to the correct team, generate step-by-step troubleshooting guides customized to environment, draft clear user communications, suggest escalation paths and knowledge-base articles, run remote diagnostics and prefilled support scripts, extract action items and update tickets, aggregate KPIs (MTTR, SLA compliance, FCR), detect recurring incidents and recommend root-cause fixes, and estimate resolution effort from historical tickets for staffing and SLA forecasting."
"Enterprise Eng.","Operations & Maintenance","Release minor/major enhancements based on user feedback.","Developers write code according to standards and best practices.","Prioritize feedback items using impact/effort scoring and historical velocity, then convert top items into backlog tickets with clear acceptance criteria and estimated effort derived from past commits and issue metrics. Generate code skeletons or refactor diffs that follow project coding standards and linting rules, produce unit and integration test templates to meet coverage targets, and create migration scripts where needed. Update CI/CD pipelines and deployment checklists, draft release notes and changelog entries from commit history, and tag the release with semantic versioning plus a rollback plan."
